username, created_at, lng, lat, text
remezzo_, Tue Jan 26 23:55:42 +0000 2021, -97.114771, 33.202495, If anyone in my area can do a good retwist DM me. Edd needs you! 
flutterfrond, Tue Jan 26 23:55:42 +0000 2021, -89.569491, 44.900818, Why is she not in jail already? 
JayZawaski670, Tue Jan 26 23:55:42 +0000 2021, -87.665193, 41.558940, I didn’t know Sekou Smith well, but he was one of the nicest people to deal with as a producer. Plus, if… https://t.co/35AvZs8qYs 
adisabontu, Tue Jan 26 23:55:42 +0000 2021, -90.247824, 38.653771, I wanna hear veeze &amp; herb on some together 
S_C_14, Tue Jan 26 23:55:42 +0000 2021, -94.559281, 39.100048, @sundjj @Lucas4westside The state gets their money from the taxpayers. The taxpayers want school choice. Fund students instead of systems 
long_ter, Tue Jan 26 23:55:42 +0000 2021, -122.585450, 45.149908, @NWSPortland Molalla,  Oregon. Elevation 371 ft. https://t.co/ho7MmeeQXR 
Savvy_Erick, Tue Jan 26 23:55:42 +0000 2021, -100.076888, 31.168893, Someone motivate me to go rope for an hour 
KevanGP, Tue Jan 26 23:55:42 +0000 2021, -94.577356, 39.051626, I'm at Hyde Park Green Space in Kansas City, MO https://t.co/gk4JT1HcZI 
DanielElfers, Tue Jan 26 23:55:42 +0000 2021, -119.095700, 46.237100, Just posted a photo @ Pasco, Washington https://t.co/EkLK6jEHFX 
nunumojeks, Tue Jan 26 23:55:42 +0000 2021, -122.630908, 45.536402, @chuboy_co VVFT 
jjnowczyk, Tue Jan 26 23:55:42 +0000 2021, -97.143293, 32.891914, I really miss you😢 #KobeBryant @kobebryant #LakerNation #LakeShow @Lakers https://t.co/FPDEJota3f 
DolphinsTalkTom, Tue Jan 26 23:55:43 +0000 2021, -77.641937, 43.057039, @antwanstaley He probably thinks it’s voter fraud 🤣 
TotalTrafficDFW, Tue Jan 26 23:55:43 +0000 2021, -96.634660, 32.843920, Stall cleared in #Garland on 635 LBJ Fwy NB at La Prada Dr, stop and go traffic back to 30 #DFWTraffic https://t.co/4NzBppXRvr 
TotalTrafficCHA, Tue Jan 26 23:55:43 +0000 2021, -85.248500, 35.158140, Disabled vehicle, center lane blocked in #Hamilton on Hwy 153 at Grubb Rd #traffic https://t.co/vROF4zhdQQ 
TotalTrafficMKE, Tue Jan 26 23:55:43 +0000 2021, -88.012630, 43.027510, Accident. two right lanes blocked. in #WestAllis on I-94 EB at 84th St, stop and go traffic back to Zoo Interchange… https://t.co/560aKFVGFf 
TotalTrafficTUC, Tue Jan 26 23:55:43 +0000 2021, -110.886600, 31.742220, Closed due to snow and ice in #GreenValley on Madera Cyn Rd at Proctor Rd #traffic https://t.co/bc4TAizExm 
TotalTrafficPHL, Tue Jan 26 23:55:43 +0000 2021, -75.206380, 39.989350, Accident, right lane blocked in #Philadelphia on I-76 EB between Montgomery Dr/Exit 341 and Girard Ave/Exit 342, st… https://t.co/tWv71t6Mdm 
TotalTrafficSF, Tue Jan 26 23:55:43 +0000 2021, -122.306800, 37.992310, Accident, shoulder blocked in #Pinole on I-80 EB after Appian Wy, stopped traffic back to San Pablo Dam Rd #BayArea… https://t.co/Y56MD2mG8p 
_papa100, Tue Jan 26 23:55:43 +0000 2021, -95.446486, 29.838495, Lady in the store say you smell good and I ain’t just talking about that 1Million 😂😂⛽️💨 
